groupName,groupOrder,taxonOrderBounds
Dapple-throats,148,"[[29423.0, 29430.0]]"
Laughingthrushes and Allies,149,"[[25937.0, 26389.0]]"
Cupwings,150,"[[23566.0, 23582.0]]"
"Tree-Babblers, Scimitar-Babblers, and Allies",151,"[[25448.0, 25695.0]]"
"Parrotbills, Wrentit, and Allies",152,"[[24955.0, 25086.0]]"
Bearded Reedling,153,"[[22429.0, 22429.0]]"
Penduline-Tits and Verdin,154,"[[21876.0, 21925.0]]"
Long-tailed Tits and Bushtit,155,"[[24780.0, 24837.0]]"
"Tits, Chickadees, and Titmice",156,"[[21549.0, 21874.0]]"
Australian Treecreepers,157,"[[17251.0, 17275.0]]"
Nuthatches,158,"[[26431.0, 26546.0]]"
Sittellas,159,"[[18606.0, 18622.0]]"
Ploughbill,160,"[[18638.0, 18638.0]]"
Shrike-tits,161,"[[18655.0, 18657.0]]"
Treecreepers,162,"[[26548.0, 26607.0]]"
Wallcreeper,163,"[[26427.0, 26427.0]]"
Fairywrens,164,"[[17277.0, 17368.0]]"
Wrens,165,"[[26696.0, 27192.0]]"
Donacobius,166,"[[23542.0, 23542.0]]"
Whiteheads,167,"[[18602.0, 18604.0]]"
Malagasy Warblers,168,"[[23548.0, 23564.0]]"
Hyliotas,169,"[[21505.0, 21513.0]]"
"Crombecs, Longbills, and Allies",170,"[[22439.0, 22506.0]]"
Hylias,171,"[[24624.0, 24627.0]]"
Grassbirds and Allies,172,"[[23361.0, 23540.0]]"
Cisticolas and Allies,173,"[[22508.0, 23199.0]]"
Bush Warblers and Allies,174,"[[24633.0, 24778.0]]"
Thornbills and Allies,175,"[[17910.0, 18160.0]]"
Reed Warblers and Allies,176,"[[23201.0, 23359.0]]"
Sylviid Warblers,177,"[[24843.0, 24953.0]]"
Leaf Warblers,178,"[[24372.0, 24622.0]]"
Ioras,179,"[[19632.0, 19653.0]]"
Gnatcatchers,180,"[[26611.0, 26694.0]]"
Kinglets,181,"[[26391.0, 26425.0]]"
Shrike-Babblers and Erpornis,182,"[[18668.0, 18695.0]]"
Vireos,183,"[[18704.0, 18945.0]]"
Wood-Warblers,184,"[[33419.0, 33851.0]]"
Olive Warbler,185,"[[30181.0, 30181.0]]"
Wrenthrush,186,"[[33026.0, 33026.0]]"
Cuban Warblers,187,"[[33028.0, 33033.0]]"
Yellow-breasted Chat,188,"[[33035.0, 33037.0]]"
"White-eyes, Yuhinas, and Allies",189,"[[25088.0, 25446.0]]"
Flowerpeckers,190,"[[29432.0, 29623.0]]"
Sunbirds and Spiderhunters,191,"[[29625.0, 30127.0]]"
Sugarbirds,192,"[[29418.0, 29421.0]]"
Wagtails and Pipits,193,"[[31149.0, 31425.0]]"
Larks,194,"[[21930.0, 22427.0]]"
Longspurs and Snow Buntings,195,"[[32138.0, 32154.0]]"
New World Sparrows,196,"[[32317.0, 32995.0]]"
Old World Buntings,197,"[[32163.0, 32315.0]]"
Old World Sparrows,198,"[[31013.0, 31147.0]]"
Weavers and Allies,199,"[[30190.0, 30480.0]]"
Indigobirds and Whydahs,200,"[[30927.0, 30960.0]]"
Estrildids,201,"[[30492.0, 30925.0]]"
Przevalski's Pinktail,202,"[[30188.0, 30188.0]]"
"Finches, Euphonias, and Allies",203,"[[31427.0, 32136.0]]"
"Cardinals, Grosbeaks, and Allies",204,"[[33862.0, 34080.0]]"
Pardalotes,205,"[[17892.0, 17908.0]]"
Spindalises,206,"[[33016.0, 33024.0]]"
Puerto Rican Tanager,207,"[[33014.0, 33014.0]]"
Chat-Tanagers and Hispaniolan Tanagers,208,"[[32997.0, 33010.0]]"
Tanagers and Allies,209,"[[34082.0, 35291.0]]"
Thrush-Tanager,210,"[[32156.0, 32156.0]]"
Mitrospingid Tanagers,211,"[[33853.0, 33860.0]]"
Blackbirds,212,"[[33039.0, 33417.0]]"
Old World Orioles,213,"[[19199.0, 19339.0]]"
Starlings and Mynas,214,"[[27232.0, 27532.0]]"
Oxpeckers,215,"[[27226.0, 27230.0]]"
Drongos,216,"[[20022.0, 20165.0]]"
Others,217,"[[35292.0, 35293.0]]"
